,Team:team1,Team:team2,player stats:B1 +,player stats:B1 -,player stats:D2 +,player stats:D2 -,player stats:EPA +,player stats:EPA -,player stats:Empty Out +,player stats:Exits +,player stats:Exits -,player stats:Handler +,player stats:Handler -,player stats:Hot Stove +,player stats:JJ +,player stats:JJ -,player stats:Outside Foot -,player stats:P5 +,player stats:P5 -,player stats:PT +,player stats:Pull Ahead -,player stats:Pull Behind +,player stats:Rover -,player stats:Screener +,player stats:Screener -,player stats:Squeeze +,player stats:Squeeze -,player stats:Stampede +,player stats:Stampede -,player stats:Tipper +,player stats:Tipper -,shot chart:NIO3 +,shot chart:NIO3 -,shot chart:RZ +,shot chart:TT -,shot chart:Turnover -,offense_lab
Luka Stat,0,5,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
AP Stat,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Kieran Stat,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,4
Peter Stat,0,6,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6
Troy Stat,11,0,1,0,1,1,0,0,0,1,1,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,11
Jason Stat,10,0,0,0,2,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,10
Austin Stat,15,0,0,1,0,0,0,0,0,0,2,1,3,0,0,1,0,1,2,0,0,0,0,0,2,1,1,0,1,1,0,1,0,0,0,0,15
Eric Stat,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,4
Guz Stat,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,7
Cayden Stat,14,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,2,1,2,0,0,0,1,2,0,0,0,1,0,2,0,1,1,1,0,14
Jake Stat,0,4,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Braden Stat,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Team 2,0,3,0,0,2,1,1,0,0,1,3,1,2,1,0,1,1,0,2,1,0,0,0,1,2,0,1,0,2,0,0,0,0,0,0,1,3
Peter,0,3,0,0,2,1,1,0,0,1,3,1,2,1,0,1,1,0,2,1,0,0,0,1,2,0,1,0,2,0,0,0,0,0,0,1,3
AP,0,2,0,0,2,1,1,0,0,1,2,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,2
Luka,0,3,0,0,2,1,1,0,0,1,3,1,2,1,0,1,1,0,2,1,0,0,0,1,2,0,1,0,2,0,0,0,0,0,0,1,3
JMo,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1
Kieran,0,2,0,0,1,0,0,0,0,1,2,1,2,1,0,1,0,0,1,0,0,0,0,1,2,0,1,0,2,0,0,0,0,0,0,1,2
Jake,0,2,0,0,1,1,1,0,0,0,2,0,1,0,0,0,1,0,2,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2
Braden,0,2,0,0,1,1,1,0,0,0,2,0,1,0,0,0,1,0,2,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2
Team 1,5,0,1,1,2,1,0,1,1,1,3,4,3,0,1,1,1,3,2,4,1,1,1,2,3,2,2,1,2,2,2,2,1,2,1,0,5
Cayden,5,0,1,1,2,1,0,1,1,1,3,4,3,0,1,1,1,3,2,4,1,1,1,2,3,2,2,1,2,2,2,2,1,2,1,0,5
Austin,5,0,1,1,2,1,0,1,1,1,3,4,3,0,1,1,1,3,2,4,1,1,1,2,3,2,2,1,2,2,2,2,1,2,1,0,5
Troy,5,0,1,1,2,1,0,1,1,1,3,4,3,0,1,1,1,3,2,4,1,1,1,2,3,2,2,1,2,2,2,2,1,2,1,0,5
Guz,5,0,1,1,2,1,0,1,1,1,3,4,3,0,1,1,1,3,2,4,1,1,1,2,3,2,2,1,2,2,2,2,1,2,1,0,5
Jason,3,0,1,1,2,1,0,1,1,1,1,2,2,0,1,1,0,3,2,2,0,1,1,1,3,1,2,1,2,2,2,2,1,1,0,0,3
Eric,2,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,2
