,Team:team1,Team:team2,player stats:B1 -,player stats:Crash +,player stats:Crash -,player stats:Cut +,player stats:Cut -,player stats:D2 +,player stats:D2 -,player stats:EPA +,player stats:EPA -,player stats:Empty Out +,player stats:Exits +,player stats:Exits -,player stats:Handler +,player stats:Handler -,player stats:Hot Stove -,player stats:JJ +,player stats:JJ -,player stats:Outside Foot -,player stats:P5 +,player stats:P5 -,player stats:PT +,player stats:Pull Behind +,player stats:Pull Behind -,player stats:Screener +,player stats:Screener -,player stats:Squeeze +,player stats:Squeeze -,player stats:Stampede +,player stats:Stampede -,shot chart:IO3 +,shot chart:IO3 -,shot chart:NIO3 +,shot chart:NIO3 -,shot chart:RZ +,shot chart:RZ -,shot chart:Turnover -,defense_lab,offense_lab
Poss for Breakdown/Coaching Points,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AP (Touch Coach Clips),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin (Touch Coach Clips),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Braden (Touch Coach Clips),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cayden (Touch Coach Clips),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric (Touch Coach Clip),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guz (Touch Coach Clips),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake (Touch Coach Clips),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason (Touch Coach Clips),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JMo (Touch Coach Clip),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kieran (Touch Coach Clips),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luka (Touch Coach Clips),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter (Touch Coach Clips),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Troy (Touch Coach Clip),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luka Stat,14,7,0,5,1,1,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,1,3,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,21
Troy Stat,18,0,0,2,0,0,1,2,2,0,1,0,0,0,1,0,0,0,0,2,2,0,3,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,18
Braden Stat,9,5,0,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,14
JMo Stat,10,8,0,4,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,18
Cayden Stat,0,24,2,3,1,0,0,1,1,1,0,0,0,1,1,1,0,2,1,2,1,0,2,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,24
Kieran Stat,0,20,0,3,1,3,0,0,0,1,0,1,1,0,0,0,1,0,0,0,2,1,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,20
Jason Stat,0,11,1,1,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,11
Guz Stat,0,21,0,2,0,0,0,5,0,1,0,0,1,0,2,2,0,0,0,1,1,0,1,0,0,1,0,0,2,0,0,0,1,1,1,1,0,1,0,21
AP Stat,0,19,0,3,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,2,0,19
Eric Stat,0,10,1,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11
Peter Stat,18,4,0,5,1,0,0,2,2,3,0,0,0,0,2,1,0,1,0,0,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,22
Austin Stat,11,4,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,1,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,15
Team 1,10,0,0,4,2,2,1,4,4,4,2,1,1,2,3,1,0,1,0,2,4,3,6,1,0,3,0,3,0,2,1,0,3,0,1,3,1,2,0,10
JMo,7,0,0,4,2,1,0,3,2,2,1,0,0,1,3,1,0,1,0,1,2,1,3,0,0,3,0,2,0,1,0,0,3,0,1,2,0,1,0,7
Peter,10,0,0,4,2,2,1,4,4,4,2,1,1,2,3,1,0,1,0,2,4,3,6,1,0,3,0,3,0,2,1,0,3,0,1,3,1,2,0,10
Luka,9,0,0,4,2,2,1,4,3,4,2,1,1,2,3,1,0,1,0,2,4,3,6,1,0,3,0,3,0,2,1,0,3,0,1,3,1,1,0,9
Braden,8,0,0,2,2,2,1,2,4,4,2,1,1,2,2,1,0,1,0,2,3,3,5,1,0,2,0,2,0,2,1,0,1,0,1,3,1,2,0,8
Troy,8,0,0,3,1,2,1,4,4,3,2,1,1,2,2,0,0,0,0,2,4,2,5,1,0,2,0,3,0,2,1,0,3,0,0,2,1,2,0,8
Austin,10,0,0,3,1,1,1,3,3,3,1,1,1,1,2,1,0,1,0,1,3,3,5,1,0,2,0,2,0,1,1,0,2,0,1,2,1,2,0,10
AP,0,13,4,5,3,4,1,6,2,3,1,3,3,2,4,2,1,2,2,3,6,3,6,3,0,5,3,0,2,1,4,1,4,1,2,1,1,4,0,13
Cayden,0,10,4,5,3,3,1,5,2,3,1,3,2,2,4,2,1,2,1,3,5,3,6,3,0,5,2,0,1,1,4,1,4,0,2,1,1,3,0,10
Guz,0,13,4,5,3,4,1,6,2,3,1,3,3,2,4,2,1,2,2,3,6,3,6,3,0,5,3,0,2,1,4,1,4,1,2,1,1,4,0,13
Jason,0,7,3,3,2,3,1,4,0,1,0,2,3,2,2,1,0,1,1,1,4,1,2,2,0,3,1,0,1,1,2,1,2,1,1,0,1,2,0,7
Kieran,0,12,3,4,2,4,0,5,2,2,1,2,2,1,3,2,1,1,2,3,5,2,5,2,0,4,3,0,2,0,3,0,3,1,2,1,1,3,0,12
Team 2,0,12,4,5,3,4,1,6,2,3,1,3,3,2,4,2,1,2,2,3,6,3,6,3,0,5,3,0,2,1,4,1,4,1,2,1,1,4,0,12
Eric,0,10,2,3,2,2,1,4,2,3,1,2,2,1,3,1,1,2,2,2,4,3,5,2,0,3,3,0,2,1,3,1,3,1,1,1,0,4,0,10
